,ticker,entry_date,exit_date,entry_price,exit_price,pnl,return_pct,reason,days_held
70,IBKR,2025-03-06,2025-03-10,47.23396301269531,42.51056671142578,-221.99962615966797,-0.1,Stop Loss,4
71,APP,2025-03-07,2025-03-10,270.4800109863281,243.43200988769533,-297.5280120849608,-0.09999999999999994,Stop Loss,3
72,ACN,2025-03-03,2025-03-11,341.579345703125,325.27925062319605,-195.60114095914741,-0.04771979127243766,Stop Loss,8
73,GEHC,2025-03-06,2025-03-14,85.2878646850586,80.96762292571346,-168.48942861446034,-0.050654823816945575,Stop Loss,8
74,GDDY,2025-02-19,2025-03-31,176.5500030517578,177.0800018310547,11.65997314453125,0.0030019754751377677,Stop Loss,40
75,SBUX,2025-03-24,2025-04-03,93.75051879882812,87.59833505655656,-276.84826840222024,-0.06562293010317147,Stop Loss,10
76,COST,2025-03-24,2025-04-03,922.250732421875,927.2701118652426,20.07751777347039,0.005442532347126973,Stop Loss,10
77,LH,2025-03-24,2025-04-04,234.51568603515625,222.9760930121302,-207.71267441446878,-0.04920606044789747,Stop Loss,11
78,ABT,2025-03-24,2025-04-04,125.49954986572266,126.75454536437988,42.66984695434559,0.009999999999999972,Stop Loss,11
79,GILD,2025-03-24,2025-04-04,104.56585693359375,105.61151550292969,42.8720013427736,0.010000000000000038,Stop Loss,11
80,ECL,2025-03-25,2025-04-04,249.28567504882812,239.4134671890135,-167.82753361684883,-0.03960198618665491,Stop Loss,10
81,EXC,2025-05-12,2025-05-14,42.85093307495117,41.196260101941036,-162.15795135499334,-0.03861463110070262,Stop Loss,2
82,ED,2025-05-12,2025-05-14,100.98236846923828,96.41797572019627,-187.14010271072257,-0.04519989794488174,Stop Loss,2
83,EXC,2025-05-14,2025-06-05,41.51459884643555,41.9297448348999,29.060219192504704,0.009999999999999938,Stop Loss,22
84,KO,2025-05-12,2025-06-17,68.03582000732422,68.71617820739746,41.50185020446784,0.010000000000000018,Stop Loss,36
85,WEC,2025-05-14,2025-06-17,100.5990982055664,101.60508918762207,29.173738479614258,0.01,Stop Loss,34
86,ED,2025-05-14,2025-06-24,97.64301300048828,98.61944313049317,28.316473770141684,0.01000000000000003,Stop Loss,41
87,ADP,2025-06-17,2025-06-25,304.06494140625,294.8628949784122,-92.02046427837786,-0.03026342460028389,Stop Loss,8
88,PAYC,2025-06-25,2025-07-02,221.91835021972656,224.13753372192383,35.506936035156286,0.01000000000000001,Stop Loss,7
89,VICI,2025-05-12,2025-07-10,30.180967330932617,32.63859939575195,341.6108570098877,0.08142986398916702,Target 8%,59
90,PODD,2025-06-17,2025-07-11,304.3900146484375,290.7685852050781,-136.21429443359375,-0.044749922099421593,Stop Loss,24
91,EXE,2025-07-10,2025-07-17,103.10358428955078,104.13462013244629,35.05521865844719,0.009999999999999978,Stop Loss,7
92,PPL,2025-05-13,2025-07-21,32.99329376220703,35.63325881958008,332.6355972290039,0.0800152017679744,Target 8%,69
93,AEP,2025-05-12,2025-07-22,99.38054656982422,108.40441131591797,379.0023193359375,0.09080111810165617,Target 8%,71
94,DGX,2025-07-21,2025-07-25,165.71414184570312,167.37128326416016,36.45711120605466,0.009999999999999993,Stop Loss,4
95,CNP,2025-06-17,2025-07-31,35.318626403808594,38.383792877197266,266.66948318481445,0.08678611785021569,Target 8%,44
96,PAYC,2025-07-02,2025-08-01,227.23745727539062,229.50983184814453,36.357993164062464,0.00999999999999999,Stop Loss,30
97,PODD,2025-07-17,2025-08-01,283.45001220703125,286.25,36.39984130859375,0.009878241920567092,Stop Loss,15
98,IBM,2025-07-25,2025-08-01,256.56121826171875,244.2527632858465,-184.62682463808378,-0.04797472922550736,Stop Loss,7
99,MNST,2025-07-10,2025-08-08,59.16999816894531,64.69000244140625,331.20025634765625,0.09329059393748719,Target 8%,29
100,STE,2025-07-22,2025-08-08,223.10877990722656,242.218994140625,305.763427734375,0.08565424561662198,Target 8%,17
101,IBM,2025-08-01,2025-08-11,247.0088348388672,234.20504859492397,-140.84164868337544,-0.05183533719470235,Stop Loss,10
102,CVS,2025-07-21,2025-08-13,60.480567932128906,65.36563110351562,293.1037902832031,0.08077078867494632,Target 8%,23
103,UBER,2025-08-01,2025-08-18,86.91000366210938,93.9800033569336,219.16999053955078,0.0813485145198143,Target 8%,17
104,RCL,2025-08-08,2025-08-18,300.51824951171875,325.8006896972656,252.82440185546875,0.08412946710100207,Target 8%,10
105,ADI,2025-07-31,2025-08-20,222.95765686035156,243.0469512939453,341.51800537109375,0.09010363096063834,Target 8%,20
106,MCHP,2025-08-08,2025-08-22,60.89486312866211,68.5219497680664,289.8292922973633,0.1252500826430853,Target 8%,14
107,INTU,2025-08-20,2025-08-22,697.8745727539062,653.8051114573693,-220.34730648268464,-0.06314811144735213,Stop Loss,2
108,SMCI,2025-08-20,2025-08-29,42.61000061035156,42.79999923706055,11.969913482666016,0.004459014878841062,Stop Loss,9
109,TTWO,2025-08-01,2025-09-02,220.5800018310547,240.9499969482422,244.43994140625,0.09234742473521768,Target 8%,32
110,AMT,2025-08-11,2025-09-03,204.2792510986328,193.79028091322638,-209.7794037081286,-0.05134623379024435,Stop Loss,23
