date,equity,peak,drawdown,returns
2025-02-27,27917.698780811646,32843.20292528269,-0.1499702740830856,-0.11513215597798221
2025-02-28,31917.709780166748,32843.20292528269,-0.02817913792456272,0.14327867890402146
2025-03-03,27519.068270156982,32843.20292528269,-0.162107656407262,-0.13781194015189102
2025-03-04,23443.46565182683,32843.20292528269,-0.28620038352653915,-0.14810103955263387
2025-03-05,26771.453819688082,32843.20292528269,-0.1848707971450792,0.1419580286160429
2025-03-06,22254.721454408827,32843.20292528269,-0.3223949105987727,-0.16871449700492502
2025-03-07,29965.482778007034,32843.20292528269,-0.08761996062997829,0.34647754811914955
2025-03-10,11731.314797812942,32843.20292528269,-0.6428084427544617,-0.6085057302523067
2025-03-11,24749.540004180573,32843.20292528269,-0.24643342305910174,1.1096987363082786
2025-03-12,28624.811841431874,32843.20292528269,-0.12844030752565547,0.1565795500278675
2025-03-13,28491.44171661498,32843.20292528269,-0.1325011211168362,-0.0046592489605068454
2025-03-14,25401.27450317504,32843.20292528269,-0.226589606349838,-0.1084594891397822
2025-03-17,28646.351824133333,32843.20292528269,-0.12778446458760642,0.12775253936776587
2025-03-18,28605.211931555208,32843.20292528269,-0.12903707970774914,-0.0014361302559813272
2025-03-19,28675.391985266146,32843.20292528269,-0.12690025846438274,0.002453400935426009
2025-03-20,28658.891985266146,32843.20292528269,-0.12740264551955324,-0.0005754062580375363
2025-03-21,28650.97197183841,32843.20292528269,-0.12764379171487872,-0.0002763544882267155
2025-03-24,28720.711931555208,32843.20292528269,-0.12552037032155564,0.002434121948300616
2025-03-25,28716.41176065677,32843.20292528269,-0.1256513006363675,-0.00014972368751464682
2025-03-26,28872.079401342806,32843.20292528269,-0.12091157896427071,0.005420859750287832
2025-03-27,29149.659242956575,32843.20292528269,-0.11245991113378367,0.009614127121057248
2025-03-28,28902.873644201693,32843.20292528269,-0.11997396508632638,-0.008466157243828265
2025-03-31,25235.635263769564,32843.20292528269,-0.2316329402713894,-0.12688144526998713
2025-04-01,29119.82218393558,32843.20292528269,-0.11336838096508711,0.15391674826361457
2025-04-02,29303.05012735599,32843.20292528269,-0.10778951145478849,0.006292206808923728
